"","tpv","tpr","fpr","tnr","fnr","ppv","fdr","npv","fors","L.diag","L.pred","L.all","L.eq.diag","model"
"1",0.023,1,1,0,0,0.0524766564650383,0.947523343534962,NA,NA,0.5,0.947523343534962,0.649174447844987,1,"allRun"
"2",0.024,1,0.83657703622935,0.16342296377065,0,0.0620913148274152,0.937908685172585,1,0,0.418288518114675,0.468954342586292,0.443621430350484,0.83657703622935,"allRun"
"3",0.025,0.99925705794948,0.674316456477462,0.325683543522538,0.000742942050520059,0.075846221081866,0.924153778918134,0.999873677561977,0.000126322438023054,0.337529699263991,0.462140050678079,0.399834874971035,0.673573514426942,"allRun"
"4",0.026,0.99869985141159,0.598648342831279,0.401351657168721,0.0013001485884101,0.084578601315003,0.915421398684997,0.999820623206232,0.000179376793767938,0.299974245709845,0.457800387739382,0.378887316724614,0.597348194242869,"allRun"
"5",0.027,0.99832838038633,0.556277902359742,0.443722097640258,0.00167161961367013,0.0904075488200764,0.909592451179924,0.99979140108935,0.000208598910650133,0.278974760986706,0.454900525045287,0.366937643015997,0.554606282746072,"allRun"
"6",0.028,0.9981426448737,0.530828892957804,0.469171107042196,0.00185735512630015,0.094317104847485,0.905682895152515,0.99978079789566,0.000219202104340202,0.266343124042052,0.452951048628428,0.35964708633524,0.528971537831504,"allRun"
"7",0.029,0.99758543833581,0.511140370728496,0.488859629271504,0.00241456166419019,0.097546357676032,0.902453642323968,0.999726528809138,0.000273471190861855,0.256777466196343,0.451363556757415,0.354070511476879,0.508725809064306,"allRun"
"8",0.03,0.99684249628529,0.495720780957475,0.504279219042525,0.00315750371471025,0.100209119085851,0.899790880914149,0.999653344208809,0.000346655791190865,0.249439142336093,0.45006876835267,0.349753955344381,0.492563277242765,"allRun"
"9",0.031,0.9962852897474,0.482049910506717,0.517950089493283,0.0037147102526003,0.102707463715391,0.897292536284609,0.999602954022076,0.000397045977924244,0.242882310379659,0.448844791131267,0.345863550755463,0.478335200254117,"allRun"
"10",0.032,0.9962852897474,0.469284259468801,0.530715740531199,0.0037147102526003,0.105207413945278,0.894792586054722,0.999612500726561,0.000387499273438862,0.236499484860701,0.44759004266408,0.342044763762391,0.465569549216201,"allRun"
"11",0.033,0.99554234769688,0.457588413191516,0.542411586808484,0.00445765230312036,0.107535510793676,0.892464489206324,0.999545058194639,0.000454941805360731,0.231023032747318,0.446459715505842,0.33874137412658,0.453130760888395,"allRun"
"12",0.034,0.99517087667162,0.447147530191125,0.552852469808875,0.00482912332838039,0.109734368279845,0.890265631720155,0.999516467984601,0.000483532015398635,0.225988326759753,0.445374581867777,0.335681454313765,0.442318406862744,"allRun"
"13",0.035,0.99517087667162,0.43730326907647,0.56269673092353,0.00482912332838039,0.111928138709004,0.888071861290996,0.999524923256834,0.000475076743166204,0.221066196202425,0.444273469017081,0.332669832609753,0.43247414574809,"allRun"
"14",0.036,0.99498514115899,0.428312794453474,0.571687205546526,0.0050148588410104,0.113990850090435,0.886009149909565,0.999514414689855,0.000485585310145136,0.216663826647242,0.443247367609855,0.329955597128549,0.423297935612463,"allRun"
"15",0.037,0.99479940564636,0.420032094142819,0.579967905857181,0.00520059435364042,0.115958345060512,0.884041654939488,0.999503625308018,0.000496374691981776,0.21261634424823,0.442269014815735,0.327442679531982,0.414831499789179,"allRun"
"16",0.038,0.9944279346211,0.411823399921822,0.588176600078178,0.00557206537890045,0.117958095573817,0.882041904426183,0.999475606984915,0.000524393015085039,0.208697732650361,0.441283148720634,0.324990440685498,0.406251334542922,"allRun"
"17",0.039,0.99387072808321,0.40411874832843,0.59588125167157,0.00612927191679049,0.119878128010395,0.880121871989605,0.999430651645072,0.000569348354928314,0.20512401012261,0.440345610172267,0.322734810147438,0.39798947641164,"allRun"
"18",0.04,0.99368499257058,0.397401608821775,0.602598391178225,0.00631500742942051,0.121637905554419,0.878362094445581,0.999419943700418,0.000580056299582018,0.201858308125598,0.439471075372582,0.32066469174909,0.391086601392354,"allRun"
"19",0.041,0.99349925705795,0.390931347336803,0.609068652663197,0.00650074294205052,0.123382464881323,0.876617535118677,0.999409232846654,0.000590767153346274,0.198716045139427,0.438604151136012,0.318660098137719,0.384430604394753,"allRun"
"20",0.042,0.993313521545319,0.384934268726727,0.615065731273273,0.00668647845468053,0.125043840164605,0.874956159835395,0.999398285112571,0.000601714887429173,0.195810373590704,0.437778937361412,0.316794655476058,0.378247790272046,"allRun"
"21",0.043,0.993127786032689,0.379790976608307,0.620209023391693,0.00687221396731055,0.126502318538847,0.873497681461153,0.99938670644787,0.000613293552129952,0.193331595287809,0.437055487506641,0.315193541397225,0.372918762640997,"allRun"
"22",0.044,0.993127786032689,0.375059147859362,0.624940852140638,0.00687221396731055,0.127894182931496,0.872105817068504,0.999391347261063,0.000608652738937325,0.190965680913336,0.43635723490372,0.313661457908528,0.368186933892051,"allRun"
"23",0.045,0.992570579494799,0.370317032526179,0.629682967473821,0.00742942050520059,0.129256965944272,0.870743034055728,0.999346981421621,0.000653018578378555,0.18887322651569,0.435698026317053,0.312285626416372,0.362887612020979,"allRun"
"24",0.046,0.992384843982169,0.365832081798918,0.634167918201082,0.00761515601783061,0.130613342459726,0.869386657540274,0.999335397383735,0.000664602616264933,0.186723618908374,0.43502563007827,0.310874624493322,0.358216925781087,"allRun"
"25",0.047,0.992013372956909,0.361738021272656,0.638261978727344,0.00798662704309064,0.131853753672205,0.868146246327795,0.999307468071057,0.000692531928943003,0.184862324157873,0.434419389128369,0.309640856643121,0.353751394229566,"allRun"
"26",0.048,0.992013372956909,0.357695393667579,0.642304606332421,0.00798662704309064,0.13314553522461,0.86685446477539,0.9993118238269,0.000688176173100314,0.182841010355335,0.433771320474245,0.30830616541479,0.349708766624488,"allRun"
"27",0.049,0.991641901931649,0.353673339230975,0.646326660769025,0.00835809806835067,0.134412527378465,0.865587472621535,0.999284316999857,0.000715683000143137,0.181015718649663,0.433151577810839,0.307083648230251,0.345315241162624,"allRun"
"28",0.05,0.991641901931649,0.350196473758924,0.649803526241076,0.00835809806835067,0.135566107203616,0.864433892796384,0.999288143636795,0.000711856363204935,0.179277285913637,0.432572874579795,0.305925080246716,0.341838375690573,"allRun"
"29",0.051,0.991456166419019,0.346812187545004,0.653187812454996,0.00854383358098068,0.136686042045425,0.863313957954575,0.999276103548666,0.000723896451333701,0.177678010562992,0.432018927202954,0.304848468882973,0.338268353964023,"allRun"
