"","tpv","tpr","fpr","tnr","fnr","ppv","fdr","npv","fors","L.diag","L.pred","L.all","L.eq.diag","model"
"1",0.01,1,1,0,0,0.228230726566833,0.771769273433167,NA,NA,0.5,0.771769273433167,0.590589757811056,1,"allRun"
"2",0.011,1,0.279554437657204,0.720445562342796,0,0.514053716427233,0.485946283572767,1,0,0.139777218828602,0.242973141786384,0.191375180307493,0.279554437657204,"allRun"
"3",0.012,1,0.234638878907654,0.765361121092346,0,0.557588075880759,0.442411924119241,1,0,0.117319439453827,0.221205962059621,0.169262700756724,0.234638878907654,"allRun"
"4",0.013,1,0.213438735177866,0.786561264822134,0,0.580804516584333,0.419195483415667,1,0,0.106719367588933,0.209597741707833,0.158158554648383,0.213438735177866,"allRun"
"5",0.014,1,0.202659001077973,0.797340998922027,0,0.593366979091565,0.406633020908435,1,0,0.101329500538987,0.203316510454218,0.152323005496602,0.202659001077973,"allRun"
"6",0.015,1,0.192597915918074,0.807402084081926,0,0.605592347314202,0.394407652685798,1,0,0.096298957959037,0.197203826342899,0.146751392150968,0.192597915918074,"allRun"
"7",0.016,1,0.18397412863816,0.81602587136184,0,0.616479400749064,0.383520599250936,1,0,0.0919870643190801,0.191760299625468,0.141873681972274,0.18397412863816,"allRun"
"8",0.017,0.997569866342649,0.177865612648221,0.822134387351779,0.00243013365735115,0.623860182370821,0.376139817629179,0.999126637554585,0.000873362445414847,0.0901478731527862,0.188506590037297,0.139327231595042,0.17543547899087,"allRun"
"9",0.018,0.997569866342649,0.173194394538268,0.826805605461732,0.00243013365735115,0.63008442056792,0.36991557943208,0.999131567520625,0.000868432479374729,0.0878122640978096,0.185392005955727,0.136602135026768,0.170764260880917,"allRun"
"10",0.019,0.997569866342649,0.169601149838304,0.830398850161696,0.00243013365735115,0.634957463263728,0.365042536736272,0.999135322092521,0.000864677907479464,0.0860156417478276,0.182953607321876,0.134484624534852,0.167171016180953,"allRun"
"11",0.02,0.997569866342649,0.164929931728351,0.835070068271649,0.00243013365735115,0.64140625,0.35859375,0.999140154772141,0.000859845227858985,0.0836800326928509,0.179726797613929,0.13170341515339,0.162499798071,"allRun"
"12",0.021,0.997569866342649,0.163133309378369,0.836866690621631,0.00243013365735115,0.643921568627451,0.356078431372549,0.999141999141999,0.000858000858000858,0.0827817215178599,0.178468216115275,0.130624968816567,0.160703175721018,"allRun"
"13",0.022,0.997569866342649,0.159540064678405,0.840459935321595,0.00243013365735115,0.64901185770751,0.35098814229249,0.999145664246049,0.000854335753951303,0.0809850991678779,0.175921239023221,0.128453169095549,0.157109931021054,"allRun"
"14",0.023,0.996354799513973,0.157743442328423,0.842256557671577,0.00364520048602673,0.651310563939635,0.348689436060365,0.998721772475501,0.00127822752449936,0.0806943214072247,0.174983831792432,0.127839076599829,0.154098241842396,"allRun"
"15",0.024,0.996354799513973,0.155946819978441,0.844053180021559,0.00364520048602673,0.653907496012759,0.346092503987241,0.998724489795918,0.00127551020408163,0.0797960102322336,0.173684007095661,0.126740008663947,0.152301619492414,"allRun"
